I (A),waveVsWave(?x i("T0:C" ?result "dc1-dc" ?resultsDir "./nl4.raw") ?y getData("T0.Qnpn13G2:ft" ?result "dc1-dc" ?resultsDir "./nl4.raw")),I (A),waveVsWave(?x i("T0:C" ?result "dc2-dc" ?resultsDir "./nl4.raw") ?y getData("T0.Qnpn13G2:ft" ?result "dc2-dc" ?resultsDir "./nl4.raw")),I (A),waveVsWave(?x i("T0:C" ?result "dc0-dc" ?resultsDir "./nl4.raw") ?y getData("T0.Qnpn13G2:ft" ?result "dc0-dc" ?resultsDir "./nl4.raw"))
3.440E-3,318.1E9,3.442E-3,321.5E9,3.414E-3,286.2E9
3.469E-3,317.7E9,3.471E-3,321.1E9,3.440E-3,282.4E9
3.498E-3,317.3E9,3.499E-3,320.8E9,3.465E-3,278.3E9
3.527E-3,316.8E9,3.528E-3,320.4E9,3.489E-3,273.8E9
3.555E-3,316.4E9,3.557E-3,320.0E9,3.513E-3,269.1E9
3.584E-3,316.0E9,3.585E-3,319.7E9,3.536E-3,264.1E9
3.612E-3,315.5E9,3.613E-3,319.3E9,3.559E-3,258.8E9
3.640E-3,315.1E9,3.642E-3,318.9E9,3.581E-3,253.3E9
3.668E-3,314.6E9,3.670E-3,318.5E9,3.602E-3,247.6E9
3.696E-3,314.1E9,3.697E-3,318.1E9,3.623E-3,241.7E9
3.724E-3,313.7E9,3.725E-3,317.7E9,3.643E-3,235.8E9
3.751E-3,313.2E9,3.753E-3,317.2E9,3.662E-3,229.7E9
3.779E-3,312.7E9,3.780E-3,316.8E9,3.681E-3,223.6E9
3.806E-3,312.2E9,3.807E-3,316.4E9,3.699E-3,217.5E9
3.833E-3,311.7E9,3.835E-3,315.9E9,3.717E-3,211.4E9
3.860E-3,311.2E9,3.862E-3,315.5E9,3.734E-3,205.3E9
3.887E-3,310.7E9,3.889E-3,315.0E9,3.750E-3,199.4E9
3.914E-3,310.2E9,3.915E-3,314.6E9,3.766E-3,193.5E9
3.940E-3,309.7E9,3.942E-3,314.1E9,3.782E-3,187.7E9
3.967E-3,309.1E9,3.969E-3,313.6E9,3.797E-3,182.1E9
3.993E-3,308.6E9,3.995E-3,313.1E9,3.812E-3,176.6E9
4.020E-3,308.1E9,4.021E-3,312.7E9,3.826E-3,171.3E9
4.046E-3,307.5E9,4.047E-3,312.2E9,3.840E-3,166.1E9
4.072E-3,307.0E9,4.074E-3,311.7E9,3.853E-3,161.1E9
4.098E-3,306.5E9,4.099E-3,311.2E9,3.866E-3,156.3E9
4.124E-3,305.9E9,4.125E-3,310.7E9,3.879E-3,151.7E9
4.149E-3,305.4E9,4.151E-3,310.2E9,3.891E-3,147.2E9
4.175E-3,304.8E9,4.177E-3,309.6E9,3.903E-3,142.8E9
4.201E-3,304.2E9,4.202E-3,309.1E9,3.914E-3,138.7E9
4.226E-3,303.7E9,4.228E-3,308.6E9,3.926E-3,134.7E9
4.251E-3,303.1E9,4.253E-3,308.1E9,3.937E-3,130.8E9
4.276E-3,302.5E9,4.278E-3,307.5E9,3.948E-3,127.1E9
4.302E-3,301.9E9,4.303E-3,307.0E9,3.958E-3,123.6E9
4.327E-3,301.4E9,4.328E-3,306.5E9,3.969E-3,120.2E9
4.351E-3,300.8E9,4.353E-3,305.9E9,3.979E-3,116.9E9
4.376E-3,300.2E9,4.378E-3,305.4E9,3.989E-3,113.7E9
4.401E-3,299.6E9,4.403E-3,304.8E9,3.998E-3,110.7E9
4.426E-3,299.0E9,4.427E-3,304.2E9,4.008E-3,107.8E9
4.450E-3,298.4E9,4.452E-3,303.7E9,4.017E-3,105.0E9
4.474E-3,297.8E9,4.476E-3,303.1E9,4.026E-3,102.3E9
4.499E-3,297.2E9,4.501E-3,302.6E9,4.035E-3,99.75E9
4.523E-3,296.5E9,4.525E-3,302.0E9,4.044E-3,97.27E9
