vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
280.0E-3,385.5E-6,715.0E-6,1.242E-3,1.569E-3,1.745E-3,1.859E-3,1.943E-3
285.0E-3,385.6E-6,715.3E-6,1.246E-3,1.584E-3,1.768E-3,1.885E-3,1.971E-3
290.0E-3,385.6E-6,715.5E-6,1.249E-3,1.599E-3,1.790E-3,1.910E-3,1.999E-3
295.0E-3,385.7E-6,715.8E-6,1.252E-3,1.613E-3,1.812E-3,1.935E-3,2.026E-3
300.0E-3,385.7E-6,715.9E-6,1.255E-3,1.626E-3,1.833E-3,1.960E-3,2.053E-3
305.0E-3,385.8E-6,716.1E-6,1.257E-3,1.638E-3,1.853E-3,1.985E-3,2.080E-3
310.0E-3,385.8E-6,716.2E-6,1.259E-3,1.649E-3,1.873E-3,2.009E-3,2.107E-3
315.0E-3,385.8E-6,716.4E-6,1.261E-3,1.659E-3,1.893E-3,2.033E-3,2.133E-3
320.0E-3,385.9E-6,716.5E-6,1.262E-3,1.668E-3,1.911E-3,2.057E-3,2.160E-3
325.0E-3,385.9E-6,716.5E-6,1.263E-3,1.677E-3,1.929E-3,2.080E-3,2.185E-3
330.0E-3,385.9E-6,716.6E-6,1.264E-3,1.684E-3,1.947E-3,2.103E-3,2.211E-3
335.0E-3,386.0E-6,716.7E-6,1.265E-3,1.691E-3,1.964E-3,2.126E-3,2.236E-3
340.0E-3,386.0E-6,716.8E-6,1.266E-3,1.697E-3,1.980E-3,2.148E-3,2.261E-3
345.0E-3,386.0E-6,716.8E-6,1.267E-3,1.703E-3,1.995E-3,2.169E-3,2.286E-3
350.0E-3,386.0E-6,716.9E-6,1.267E-3,1.707E-3,2.009E-3,2.190E-3,2.311E-3
355.0E-3,386.0E-6,716.9E-6,1.267E-3,1.711E-3,2.023E-3,2.211E-3,2.335E-3
360.0E-3,386.1E-6,717.0E-6,1.268E-3,1.715E-3,2.036E-3,2.231E-3,2.359E-3
365.0E-3,386.1E-6,717.0E-6,1.268E-3,1.718E-3,2.047E-3,2.250E-3,2.382E-3
370.0E-3,386.1E-6,717.0E-6,1.268E-3,1.720E-3,2.058E-3,2.269E-3,2.405E-3
375.0E-3,386.1E-6,717.1E-6,1.269E-3,1.722E-3,2.069E-3,2.288E-3,2.428E-3
380.0E-3,386.1E-6,717.1E-6,1.269E-3,1.724E-3,2.078E-3,2.305E-3,2.451E-3
385.0E-3,386.1E-6,717.1E-6,1.269E-3,1.726E-3,2.086E-3,2.322E-3,2.473E-3
390.0E-3,386.1E-6,717.2E-6,1.269E-3,1.727E-3,2.094E-3,2.339E-3,2.494E-3
395.0E-3,386.2E-6,717.2E-6,1.269E-3,1.728E-3,2.100E-3,2.354E-3,2.516E-3
400.0E-3,386.2E-6,717.2E-6,1.269E-3,1.729E-3,2.106E-3,2.369E-3,2.536E-3
405.0E-3,386.2E-6,717.2E-6,1.269E-3,1.730E-3,2.112E-3,2.383E-3,2.557E-3
410.0E-3,386.2E-6,717.3E-6,1.270E-3,1.731E-3,2.116E-3,2.397E-3,2.576E-3
415.0E-3,386.2E-6,717.3E-6,1.270E-3,1.731E-3,2.120E-3,2.409E-3,2.596E-3
420.0E-3,386.2E-6,717.3E-6,1.270E-3,1.732E-3,2.124E-3,2.420E-3,2.614E-3
425.0E-3,386.2E-6,717.3E-6,1.270E-3,1.732E-3,2.127E-3,2.431E-3,2.632E-3
430.0E-3,386.2E-6,717.3E-6,1.270E-3,1.733E-3,2.129E-3,2.441E-3,2.650E-3
435.0E-3,386.2E-6,717.3E-6,1.270E-3,1.733E-3,2.131E-3,2.450E-3,2.666E-3
440.0E-3,386.3E-6,717.4E-6,1.270E-3,1.733E-3,2.133E-3,2.458E-3,2.683E-3
445.0E-3,386.3E-6,717.4E-6,1.270E-3,1.733E-3,2.135E-3,2.465E-3,2.698E-3
450.0E-3,386.3E-6,717.4E-6,1.270E-3,1.733E-3,2.136E-3,2.472E-3,2.712E-3
455.0E-3,386.3E-6,717.4E-6,1.270E-3,1.734E-3,2.137E-3,2.478E-3,2.726E-3
460.0E-3,386.3E-6,717.4E-6,1.270E-3,1.734E-3,2.138E-3,2.483E-3,2.739E-3
465.0E-3,386.3E-6,717.4E-6,1.270E-3,1.734E-3,2.139E-3,2.487E-3,2.751E-3
470.0E-3,386.3E-6,717.5E-6,1.270E-3,1.734E-3,2.140E-3,2.491E-3,2.763E-3
475.0E-3,386.3E-6,717.5E-6,1.270E-3,1.734E-3,2.140E-3,2.494E-3,2.773E-3
480.0E-3,386.3E-6,717.5E-6,1.270E-3,1.734E-3,2.141E-3,2.497E-3,2.783E-3
485.0E-3,386.3E-6,717.5E-6,1.270E-3,1.734E-3,2.141E-3,2.500E-3,2.792E-3
490.0E-3,386.3E-6,717.5E-6,1.270E-3,1.734E-3,2.141E-3,2.502E-3,2.800E-3
495.0E-3,386.4E-6,717.5E-6,1.270E-3,1.734E-3,2.142E-3,2.503E-3,2.807E-3
500.0E-3,386.4E-6,717.5E-6,1.270E-3,1.734E-3,2.142E-3,2.505E-3,2.813E-3
505.0E-3,386.4E-6,717.6E-6,1.270E-3,1.734E-3,2.142E-3,2.506E-3,2.819E-3
510.0E-3,386.4E-6,717.6E-6,1.270E-3,1.734E-3,2.142E-3,2.507E-3,2.824E-3
515.0E-3,386.4E-6,717.6E-6,1.270E-3,1.734E-3,2.142E-3,2.508E-3,2.828E-3
520.0E-3,386.4E-6,717.6E-6,1.270E-3,1.735E-3,2.143E-3,2.509E-3,2.832E-3
525.0E-3,386.4E-6,717.6E-6,1.270E-3,1.735E-3,2.143E-3,2.509E-3,2.835E-3
530.0E-3,386.4E-6,717.6E-6,1.270E-3,1.735E-3,2.143E-3,2.510E-3,2.838E-3
535.0E-3,386.4E-6,717.6E-6,1.270E-3,1.735E-3,2.143E-3,2.510E-3,2.840E-3
540.0E-3,386.4E-6,717.6E-6,1.270E-3,1.735E-3,2.143E-3,2.511E-3,2.842E-3
545.0E-3,386.4E-6,717.7E-6,1.270E-3,1.735E-3,2.143E-3,2.511E-3,2.844E-3
550.0E-3,386.4E-6,717.7E-6,1.270E-3,1.735E-3,2.143E-3,2.511E-3,2.845E-3
555.0E-3,386.4E-6,717.7E-6,1.271E-3,1.735E-3,2.143E-3,2.512E-3,2.847E-3
560.0E-3,386.5E-6,717.7E-6,1.271E-3,1.735E-3,2.143E-3,2.512E-3,2.848E-3
565.0E-3,386.5E-6,717.7E-6,1.271E-3,1.735E-3,2.143E-3,2.512E-3,2.848E-3
570.0E-3,386.5E-6,717.7E-6,1.271E-3,1.735E-3,2.143E-3,2.512E-3,2.849E-3
575.0E-3,386.5E-6,717.7E-6,1.271E-3,1.735E-3,2.143E-3,2.512E-3,2.850E-3
580.0E-3,386.5E-6,717.7E-6,1.271E-3,1.735E-3,2.143E-3,2.512E-3,2.850E-3
585.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.143E-3,2.513E-3,2.851E-3
590.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.143E-3,2.513E-3,2.851E-3
595.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.851E-3
600.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.852E-3
605.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.852E-3
610.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.852E-3
615.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.852E-3
620.0E-3,386.5E-6,717.8E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.852E-3
625.0E-3,386.5E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
630.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
635.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
640.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
645.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
650.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
655.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
660.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
665.0E-3,386.6E-6,717.9E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
670.0E-3,386.6E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
675.0E-3,386.6E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
680.0E-3,386.6E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
685.0E-3,386.6E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
690.0E-3,386.6E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
695.0E-3,386.7E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.513E-3,2.853E-3
700.0E-3,386.7E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.514E-3,2.853E-3
705.0E-3,386.7E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.514E-3,2.853E-3
710.0E-3,386.7E-6,718.0E-6,1.271E-3,1.735E-3,2.144E-3,2.514E-3,2.854E-3
715.0E-3,386.7E-6,718.1E-6,1.271E-3,1.735E-3,2.144E-3,2.514E-3,2.854E-3
720.0E-3,386.7E-6,718.1E-6,1.271E-3,1.735E-3,2.144E-3,2.514E-3,2.854E-3
725.0E-3,386.7E-6,718.1E-6,1.271E-3,1.735E-3,2.144E-3,2.514E-3,2.854E-3
730.0E-3,386.7E-6,718.1E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
735.0E-3,386.7E-6,718.1E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
740.0E-3,386.7E-6,718.1E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
745.0E-3,386.7E-6,718.1E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
750.0E-3,386.7E-6,718.1E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
755.0E-3,386.7E-6,718.1E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
760.0E-3,386.7E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
765.0E-3,386.7E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
770.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
775.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
780.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
785.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
790.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
795.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
800.0E-3,386.8E-6,718.2E-6,1.271E-3,1.736E-3,2.144E-3,2.514E-3,2.854E-3
805.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
810.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
815.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
820.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
825.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
830.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
835.0E-3,386.8E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
840.0E-3,386.9E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
845.0E-3,386.9E-6,718.3E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
850.0E-3,386.9E-6,718.4E-6,1.271E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
855.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
860.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
865.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
870.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
875.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
880.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
885.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
890.0E-3,386.9E-6,718.4E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
895.0E-3,386.9E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.854E-3
900.0E-3,386.9E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.855E-3
905.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.855E-3
910.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.514E-3,2.855E-3
915.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
920.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
925.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
930.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
935.0E-3,387.0E-6,718.5E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
940.0E-3,387.0E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
945.0E-3,387.0E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
950.0E-3,387.0E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
955.0E-3,387.1E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
