vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
280.0E-3,381.4E-6,702.0E-6,1.208E-3,1.531E-3,1.711E-3,1.827E-3,1.913E-3
285.0E-3,381.4E-6,702.1E-6,1.211E-3,1.544E-3,1.732E-3,1.851E-3,1.939E-3
290.0E-3,381.4E-6,702.1E-6,1.214E-3,1.556E-3,1.751E-3,1.875E-3,1.965E-3
295.0E-3,381.4E-6,702.1E-6,1.216E-3,1.568E-3,1.770E-3,1.898E-3,1.991E-3
300.0E-3,381.4E-6,702.0E-6,1.217E-3,1.578E-3,1.789E-3,1.921E-3,2.016E-3
305.0E-3,381.3E-6,702.0E-6,1.219E-3,1.587E-3,1.807E-3,1.943E-3,2.041E-3
310.0E-3,381.3E-6,701.9E-6,1.220E-3,1.596E-3,1.824E-3,1.965E-3,2.065E-3
315.0E-3,381.3E-6,701.8E-6,1.220E-3,1.603E-3,1.840E-3,1.986E-3,2.089E-3
320.0E-3,381.2E-6,701.6E-6,1.221E-3,1.610E-3,1.856E-3,2.007E-3,2.113E-3
325.0E-3,381.2E-6,701.5E-6,1.221E-3,1.616E-3,1.871E-3,2.027E-3,2.137E-3
330.0E-3,381.2E-6,701.4E-6,1.222E-3,1.621E-3,1.885E-3,2.047E-3,2.160E-3
335.0E-3,381.1E-6,701.2E-6,1.222E-3,1.625E-3,1.898E-3,2.067E-3,2.182E-3
340.0E-3,381.1E-6,701.1E-6,1.222E-3,1.629E-3,1.910E-3,2.085E-3,2.204E-3
345.0E-3,381.0E-6,700.9E-6,1.222E-3,1.632E-3,1.921E-3,2.103E-3,2.226E-3
350.0E-3,381.0E-6,700.7E-6,1.222E-3,1.634E-3,1.932E-3,2.121E-3,2.248E-3
355.0E-3,380.9E-6,700.5E-6,1.221E-3,1.636E-3,1.941E-3,2.138E-3,2.269E-3
360.0E-3,380.9E-6,700.4E-6,1.221E-3,1.638E-3,1.950E-3,2.154E-3,2.289E-3
365.0E-3,380.8E-6,700.2E-6,1.221E-3,1.639E-3,1.958E-3,2.169E-3,2.309E-3
370.0E-3,380.7E-6,700.0E-6,1.220E-3,1.640E-3,1.965E-3,2.183E-3,2.328E-3
375.0E-3,380.7E-6,699.8E-6,1.220E-3,1.640E-3,1.971E-3,2.197E-3,2.347E-3
380.0E-3,380.6E-6,699.6E-6,1.219E-3,1.641E-3,1.976E-3,2.210E-3,2.365E-3
385.0E-3,380.6E-6,699.4E-6,1.219E-3,1.641E-3,1.980E-3,2.222E-3,2.383E-3
390.0E-3,380.5E-6,699.2E-6,1.218E-3,1.641E-3,1.984E-3,2.233E-3,2.400E-3
395.0E-3,380.5E-6,699.0E-6,1.218E-3,1.640E-3,1.987E-3,2.243E-3,2.417E-3
400.0E-3,380.4E-6,698.8E-6,1.218E-3,1.640E-3,1.989E-3,2.253E-3,2.432E-3
405.0E-3,380.3E-6,698.7E-6,1.217E-3,1.640E-3,1.991E-3,2.261E-3,2.447E-3
410.0E-3,380.3E-6,698.5E-6,1.216E-3,1.639E-3,1.993E-3,2.269E-3,2.461E-3
415.0E-3,380.2E-6,698.3E-6,1.216E-3,1.638E-3,1.994E-3,2.275E-3,2.475E-3
420.0E-3,380.2E-6,698.1E-6,1.215E-3,1.638E-3,1.994E-3,2.281E-3,2.487E-3
425.0E-3,380.1E-6,697.9E-6,1.215E-3,1.637E-3,1.995E-3,2.286E-3,2.499E-3
430.0E-3,380.1E-6,697.7E-6,1.214E-3,1.636E-3,1.995E-3,2.290E-3,2.510E-3
435.0E-3,380.0E-6,697.5E-6,1.214E-3,1.635E-3,1.994E-3,2.294E-3,2.520E-3
440.0E-3,379.9E-6,697.3E-6,1.213E-3,1.635E-3,1.994E-3,2.297E-3,2.529E-3
445.0E-3,379.9E-6,697.1E-6,1.213E-3,1.634E-3,1.994E-3,2.299E-3,2.537E-3
450.0E-3,379.8E-6,696.9E-6,1.212E-3,1.633E-3,1.993E-3,2.300E-3,2.545E-3
455.0E-3,379.8E-6,696.7E-6,1.212E-3,1.632E-3,1.992E-3,2.302E-3,2.551E-3
460.0E-3,379.7E-6,696.5E-6,1.211E-3,1.631E-3,1.991E-3,2.302E-3,2.557E-3
465.0E-3,379.6E-6,696.3E-6,1.210E-3,1.630E-3,1.990E-3,2.303E-3,2.561E-3
470.0E-3,379.6E-6,696.1E-6,1.210E-3,1.629E-3,1.989E-3,2.303E-3,2.565E-3
475.0E-3,379.5E-6,695.9E-6,1.209E-3,1.628E-3,1.988E-3,2.302E-3,2.569E-3
480.0E-3,379.4E-6,695.7E-6,1.209E-3,1.628E-3,1.987E-3,2.302E-3,2.571E-3
485.0E-3,379.4E-6,695.5E-6,1.208E-3,1.627E-3,1.986E-3,2.301E-3,2.573E-3
490.0E-3,379.3E-6,695.3E-6,1.208E-3,1.626E-3,1.985E-3,2.300E-3,2.574E-3
495.0E-3,379.3E-6,695.1E-6,1.207E-3,1.625E-3,1.984E-3,2.299E-3,2.575E-3
500.0E-3,379.2E-6,694.9E-6,1.207E-3,1.624E-3,1.982E-3,2.298E-3,2.576E-3
505.0E-3,379.1E-6,694.7E-6,1.206E-3,1.623E-3,1.981E-3,2.297E-3,2.576E-3
